registration,source_path,source_line,hotkeyToken,hotkey,scopeId,parentScopeId,description,displayPriority,handlerPriority,condition,hide,runWithInputFocused,activateCommandScope,activateCommandScopeId,registrationType,tags,keywords,dynamic_context,raw_excerpt,review_status
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,167,TOKENS.global.createCommand,'c','global',,'Create',10,,,,,,CREATE_MENU_COMMAND_SCOPE,,,"['new', 'make', 'add']",False,"{ hotkeyToken: TOKENS.global.createCommand, hotkey: 'c', scopeId: 'global', description: 'Create', keyDownHandler: () => { if (automationComposerOpen()) { return true; } const willOpen = !createMenuOpen(); if (willOpen) { analytics.track('create_menu_open', { from: 'global_hotkey' }); } setCreateMenuOpen((prev) => !prev); return true; }, displayPriority: 10, activateCommandScopeId: CREATE_MENU_COMMAND_SC",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,194,item.hotkeyToken,item.hotkey,CREATE_MENU_COMMAND_SCOPE,,item.description,,,() => (item.condition?.() ?? true) && (item.blockName !== 'snippet' || snippetsFlag().enabled),() => item.blockName === 'snippet' && !snippetsFlag().enabled,true,,,,item.tags,item.keywords,True,"{ hotkeyToken: item.hotkeyToken, hotkey: item.hotkey, scopeId: CREATE_MENU_COMMAND_SCOPE, description: item.description, condition: () => (item.condition?.() ?? true) && (item.blockName !== 'snippet' || snippetsFlag().enabled), keyDownHandler: item.keyDownHandler, icon: Plus, tags: item.tags, keywords: item.keywords, hide: () => item.blockName === 'snippet' && !snippetsFlag().enabled, runWithInputFocused: true,",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,211,,"['c', 'escape']",CREATE_MENU_COMMAND_SCOPE,,'Close Create',,,createMenuOpen,,true,,,,,,False,"{ hotkey: ['c', 'escape'], scopeId: CREATE_MENU_COMMAND_SCOPE, description: 'Close Create', condition: createMenuOpen, keyDownHandler: () => { setCreateMenuOpen(false); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,223,TOKENS.global.commandMenu,'cmd+k','global',,() => { return CommandState.isOpen() ? 'Close command menu' : 'Open command menu'; },10,,,CommandState.isOpen,true,,,,,,False,"{ hotkeyToken: TOKENS.global.commandMenu, hotkey: 'cmd+k', scopeId: 'global', description: () => { return CommandState.isOpen() ? 'Close command menu' : 'Open command menu'; }, keyDownHandler: () => { console.log('## CMD K - global'); handleCommandMenu(); return true; }, displayPriority: 10, hide: CommandState.isOpen, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,240,,COMMAND_MENU_CATEGORY_LEADER_KEY,'global',,'Open category',,,,,,,COMMAND_MENU_CATEGORY_SCOPE,,,"['command menu', 'palette', 'category']",False,"{ hotkey: COMMAND_MENU_CATEGORY_LEADER_KEY, scopeId: 'global', description: 'Open category', keyDownHandler: () => true, activateCommandScopeId: COMMAND_MENU_CATEGORY_SCOPE, surfaceNestedCommands: true, keywords: ['command menu', 'palette', 'category'], }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,251,,item.hotkey,COMMAND_MENU_CATEGORY_SCOPE,,`Open ${item.label}`,,,,,true,,,,,"['command menu', 'palette', 'category', item.label]",True,"{ hotkey: item.hotkey, scopeId: COMMAND_MENU_CATEGORY_SCOPE, description: `Open ${item.label}`, keyDownHandler: () => { setActiveScope('global'); CommandState.setCategoryFilter(item.category); CommandState.setQuery(''); CommandState.setSelectedIndex(0); CommandState.open(); return true; }, keywords: ['command menu', 'palette', 'category', item.label], runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,283,,'cmd+\\','global',,'Create new split',,,canFit,,true,,,,,,False,"{ hotkey: 'cmd+\\', scopeId: 'global', description: 'Create new split', condition: canFit, keyDownHandler: createNewSplit, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,292,TOKENS.global.createNewSplit,'\\','global',,'Create new split',,,canFit,,,,,,,,False,"{ hotkeyToken: TOKENS.global.createNewSplit, hotkey: '\\', scopeId: 'global', description: 'Create new split', condition: canFit, keyDownHandler: createNewSplit, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,311,TOKENS.global.toggleSettings,'cmd+;','global',,'Toggle settings',,,,,true,,,,,,False,"{ hotkeyToken: TOKENS.global.toggleSettings, hotkey: 'cmd+;', scopeId: 'global', description: 'Toggle settings', keyDownHandler: () => { toggleSettings(); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,323,,,'global',,'Account',,,,,true,,,,,,False,"{ scopeId: 'global', description: 'Account', icon: UserIcon, keyDownHandler: () => { openSettingsAt('Account'); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,334,,,'global',,'Logout',,,,,true,,,,,,False,"{ scopeId: 'global', description: 'Logout', icon: LogoutIcon, keyDownHandler: () => { logout(); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,346,TOKENS.global.instructions,,'global',,'Open AI instructions',,,,,true,,,,,,False,"{ hotkeyToken: TOKENS.global.instructions, scopeId: 'global', description: 'Open AI instructions', keyDownHandler: () => { openInstructions(); return true; }, icon: AiInstructionsIcon, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,358,,,'global',,'MCP setup',9,,,,true,,,,"['mcp', 'model context protocol', 'setup', 'connect macro']",,False,"{ scopeId: 'global', description: 'MCP setup', keyDownHandler: () => { openMacroMcpSetupModal(); return true; }, icon: IconGear, runWithInputFocused: true, displayPriority: 9, tags: ['mcp', 'model context protocol', 'setup', 'connect macro'], }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,371,,,'global',,'Change theme',10,,,,true,true,,,,,False,"{ scopeId: 'global', description: 'Change theme', keyDownHandler: () => { return true; }, activateCommandScope: true, runWithInputFocused: true, displayPriority: 10, }",mechanical-needs-manual-review
