interface_or_capability,method,source_repo,source_pin,source_path,source_line,caller_surface,input_output_semantics,state_owner,authorization_boundary,reads_side_effects,subscriptions_callbacks,ordering_idempotency,target_disposition,compatibility_adapter,contract_or_parity_test,migration_dependency,review_status,notes
LoginAttempt,wait,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,40,workshop-frontend auth flow (components/auth/OAuthButtons.tsx),() -> Promise<session token string>; resolves when gatekeeper OAuth popup completes; rejects on failure/abandon; safe to call immediately (pipelined),Workshop Worker + User DO (pending gatekeeper login),holder of the attempt stub (capability); dispose = abandon,read (waits on login completion); dispose of parent stub cancels server-side wait,returned by PublicApi.startGatekeeperLogin,single-shot promise; re-call semantics unspecified - treat as call-once,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,Capability object: holding the stub IS the authority to receive the token.
PublicApi,getServerConfig,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,47,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)","() -> ServerConfig (auth vendors, passwordAuthEnabled, cloudflareLimitsEnabled, signups, branding, banner, accentColor); no secrets",Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,read-only,none,idempotent read; called once at boot,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
PublicApi,startGatekeeperLogin,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,56,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)","vendorId -> {url to open in popup, attempt: RpcStub<LoginAttempt>}; vendor must be auth-capable + allowlisted else throws",Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,creates pending login attempt server-side,returns LoginAttempt capability,not idempotent (new attempt per call); dispose attempt to cancel,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
PublicApi,authenticate,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,59,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)",token (from localStorage) -> AuthenticatedApi capability; throws on invalid token,Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,mints session capability,returns AuthenticatedApi capability,idempotent per token,preserve,none (kernel-native),contract:capability-lifecycle,user-store migration (token format must survive or force re-login),manually-reviewed,
PublicApi,authenticateFromCfAccess,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,65,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)",() -> AuthenticatedApi using Cloudflare Access session credentials already on the request,Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,mints session capability; may create account on first sight,returns AuthenticatedApi capability,idempotent per Access session,preserve,none (kernel-native),contract:req-resp,none,needs-review,Deployment-mode specific (behind CF Access). Owner decision: is Access mode in scope for Neuwave deployment?
PublicApi,login,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,91,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)","username + client-side argon2id passwordHash (salt=SERVICE_SALT+username, t=3, m=64MiB, p=1, 32B) -> token | null (null = bad user/password); may be disabled under SSO",Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,mints token; server re-hashes (never sees plaintext password),none,not idempotent (new token per call),preserve,none (kernel-native),contract:req-resp,user-store migration: Neuwave users must be re-hashed client-side into this scheme or re-onboarded,manually-reviewed,Hash contract incl. SERVICE_SALT const (api.ts:30) is part of the wire contract - freeze it.
PublicApi,createAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,101,"workshop-frontend boot/auth (sampled: OAuthButtons.tsx, routes/signup.tsx, root loader)",username + displayName + passwordHash -> token | null (null = username taken; other errors throw); may be disabled under SSO; gated by signupsEnabled,Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,creates account + mints token,none,not idempotent; null-on-conflict,preserve,none (kernel-native),contract:req-resp,user-store migration,manually-reviewed,
PublicApi,getBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,106,workshop-frontend BlueprintLandingPage.tsx / routes/blueprint.$id.tsx,blueprintId -> BlueprintPublicInfo | null; unauthenticated - knowing the ID suffices (blueprint is 'just data'),Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,read-only (KV),none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Deliberate anonymous read: ID = capability. Preserve this property.
PublicApi,downloadBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,110,workshop-frontend blueprint export UI,blueprintId -> ReadableStream<Uint8Array> of .gadget archive (BlueprintMetadata + code snapshot only),Workshop Worker entry (server.ts PublicApiImpl); delegates to User DO / AdminSettings / KV,unauthenticated internet,read-only (KV+R2),none,idempotent read; streaming,preserve,none (kernel-native),contract:streaming,none,manually-reviewed,RPC-carried ReadableStream - adapter must preserve streaming.
ConnectedAccountsSubscriber,add,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,117,server->client push; consumed by ResourcePicker/GatekeeperModal/ConnectionChips/gatekeepers route,"(id, AccountDescription, VendorDescription, supportedResources, credentialsValid, vendorId) -> void; credentialsValid=false means UI should offer reconnectAccount",client (callback target implemented by frontend),stub passed by client to subscribeConnectedAccounts,client-side state upsert,callback (server->client),in-order delivery (Cap'n Web); upsert semantics,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
