interface_or_capability,method,source_repo,source_pin,source_path,source_line,caller_surface,input_output_semantics,state_owner,authorization_boundary,reads_side_effects,subscriptions_callbacks,ordering_idempotency,target_disposition,compatibility_adapter,contract_or_parity_test,migration_dependency,review_status,notes
TaskDomainPublicApi,authenticate,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,8,N5/N6 shell after kernel PublicApi.login,kernel session token -> TaskAuthenticatedApi capability; throws on invalid token,Task-slice worker + kernel User DO,unauthenticated internet (token is the secret),mints session capability; does not open a tenant,returns TaskAuthenticatedApi,idempotent per token,wrapper-owned,none (not in kernel api.ts),contract:capability-lifecycle,none,draft,ADR-002 wrapper entry. Kernel PublicApi.authenticate is unchanged on /api.
TaskAuthenticatedApi,openTenant,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,14,N6 task pane after authenticate,tenantId -> TaskSessionApi; throws if kernel user is not a Team DO member,Team DO membership + TaskSliceDurableObject,holder of TaskAuthenticatedApi stub,mints tenant-scoped actor; receipts minted server-side on later calls,returns TaskSessionApi,idempotent per (token tenant),wrapper-owned,none,contract:capability-lifecycle,none,draft,Membership is N1 Team DO; actor is never a client argument.
TaskSessionApi,createTask,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,22,create-menu.task / c then t,(title correlationId?) -> TaskView (document + facet task + owner receipt),TaskSliceDurableObject SQLite + D1 entity_row,holder of TaskSessionApi (tenant-scoped),authoritative write + outbox + Soup project,none,idempotent when correlationId reused via N3 store,wrapper-owned,none,contract:req-resp,OD-1 seed ids,draft,No Task entity type (OD-7).
TaskSessionApi,listTasks,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,23,soup.tasks table,() -> SoupItem[] visible under minted view receipts,D1 entity_row (OD-27) filtered by DO mintView,holder of TaskSessionApi,read; query never mints (DO mints then filters),none,idempotent read,wrapper-owned,none,contract:req-resp,none,draft,SEC-1: cross-tenant rows never listed.
TaskSessionApi,listActivity,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,25,activity.facts on /tasks,() -> ActivityFact[] for entities the session can view,TaskSliceDurableObject activity log in the SQLite snapshot,holder of TaskSessionApi,read; filtered by view receipts,none,append-only log; idempotent read,wrapper-owned,none,contract:req-resp,none,draft,Activity facts on the origin /tasks surface.
TaskSessionApi,listAlerts,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,26,operator.alerts on /tasks,() -> OperatorAlert[] (outbox_poison rows visible to the session),TaskSliceDurableObject outbox poison set,holder of TaskSessionApi,read; filtered by view receipts,none,poison is marked-and-skipped; alert is inspectable,wrapper-owned,none,contract:req-resp,none,draft,09 gate 8 proof: poison produces an operator alert rather than silent skip.
TaskSessionApi,updateTitle,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,24,soup-entity.rename,(entityId title correlationId?) -> TaskRecord,TaskSliceDurableObject,edit receipt reminted on DO from closed-over actor,authoritative write,none,last-wins per entity version,wrapper-owned,none,contract:req-resp,none,draft,Serialized receipts from the client are not trusted.
TaskSessionApi,setStatus,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,25,soup-entity.status,(entityId status correlationId?) -> TaskRecord + property_changed fact,TaskSliceDurableObject,edit receipt reminted on DO,authoritative write,none,last-wins,wrapper-owned,none,contract:req-resp,none,draft,
TaskSessionApi,setPriority,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,26,soup-entity.priority,(entityId priority correlationId?) -> TaskRecord + property_changed fact,TaskSliceDurableObject,edit receipt reminted on DO,authoritative write,none,last-wins,wrapper-owned,none,contract:req-resp,none,draft,
TaskSessionApi,setAssignee,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,27,soup-entity.assignee,(entityId assigneeId correlationId?) -> TaskRecord + property_changed fact,TaskSliceDurableObject,edit receipt reminted on DO,authoritative write,none,last-wins,wrapper-owned,none,contract:req-resp,none,draft,
TaskSessionApi,markDone,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,28,soup-entity.mark-done,(entityId done correlationId?) -> TaskRecord,TaskSliceDurableObject,edit receipt reminted on DO,authoritative write,none,last-wins,wrapper-owned,none,contract:req-resp,none,draft,
TaskSessionApi,seq,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,29,live subscriber cursor,() -> number (outbox seq),TaskSliceDurableObject,holder of TaskSessionApi,read-only,none,idempotent read,wrapper-owned,none,contract:req-resp,none,draft,
TaskSessionApi,replayFrom,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,30,/subscribe reconnect,(seq) -> SoupDelta[] visible to actor,TaskSliceDurableObject,holder of TaskSessionApi,read; filtered by visibility,none,ordered by seq,wrapper-owned,none,parity:subscription-replay,none,draft,Streaming bytes stay on HTTP /subscribe.
TaskSessionApi,rebuildProjection,Outreach-OS,wrapper,packages/task-slice/src/domain-api.ts,31,gate 5 operator rebuild,() -> void; drop + rebuild D1 from outbox,TaskSliceDurableObject + D1,holder of TaskSessionApi,rebuilds tenant-scoped entity_row,none,idempotent rebuild,wrapper-owned,none,contract:req-resp,none,draft,Never unscoped DELETE.
