command_identity,description,hotkeys,scope,parent_scope,shadowing_priority,conditions,hide_rules,input_focus_behavior,browser_or_native,handler_intent,target_react_command_id,telemetry,accessible_alternative,target_disposition,parity_test,source_path,source_line,source_commit,manual_review_notes
global.create,Create (open create menu / leader),c,global,(root),displayPriority=10; override; leader key activates CREATE_MENU_COMMAND_SCOPE,,,suppressed-when-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,toggle create menu (Launcher dialog); no-op passthrough while automation composer open; activates create-menu command scope so c+<key> chords work without the dialog,global.toggle-create-menu,"hotkey_use (global keypress tracker, debounced for repeats); create_menu_open{from:global_hotkey}",sidebar Create button,preserve,parity: global.create,apps/web/src/components/app/GlobalHotkeys.tsx,167,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,surfaceNestedCommands=true: create-menu child commands surface in command menu
create-menu.email,Create email,e,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open email compose component (focuses To field within gesture for iOS keyboard); shift held at press opens in new split (pressedKeys check),create-menu.create-email,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.email,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.chat,Create agent,a,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create new agent chat via cognition API and open it; shift held at press opens in new split (pressedKeys check),create-menu.create-agent,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.chat,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.automation,Create automation,u,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open automation composer; shift held at press opens in new split (pressedKeys check),create-menu.create-automation,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.automation,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.skill,Create skill,k,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open skill compose popover; shift held at press opens in new split (pressedKeys check),create-menu.create-skill,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.skill,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.md,Create document,d,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create markdown doc (tracked doc.create span) and open with optimistic golden snapshot; shift held at press opens in new split (pressedKeys check),create-menu.create-document,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.md,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.task,Create task,t,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open task compose popover; shift held at press opens in new split (pressedKeys check),create-menu.create-task,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.task,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.snippet,Create snippet,s,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true; snippet additionally requires ENABLE_SNIPPETS flag,hidden when blockName=snippet and snippets flag off,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create snippet document and open it (feature-flag gated); shift held at press opens in new split (pressedKeys check),create-menu.create-snippet,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.snippet,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.channel-message,Create message,m,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open quick-send channel message compose; shift held at press opens in new split (pressedKeys check),create-menu.create-message,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.channel-message,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.channel,Create channel,g,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open new-channel modal; shift held at press opens in new split (pressedKeys check),create-menu.create-channel,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.channel,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
